IncludedSite	BackupSite
7:58836996	7:58836972
7:58836996	7:58836988
12:14151983	12:14151989
12:14151983	12:14151978
12:22466735	12:22466819
12:22466735	12:22466733
12:22466735	12:22466836
4:140661793	4:140661777
4:140661793	4:140661789
4:140661793	4:140661781
4:140661793	4:140661785
4:140661793	4:140661950
4:140661793	4:140661773
9:111311706	9:111311733
9:111311706	9:111311601
9:111311706	9:111311773
9:111311706	9:111311699
9:111311706	9:111311693
9:111311706	9:111311702
3:95173166	3:95172916
3:95173166	3:95173042
3:95173166	3:95172681
3:95173166	3:95173171
3:95173166	3:95172730
3:95173166	3:95173055
3:95173166	3:95172946
3:95173166	3:95173187
3:95173166	3:95172936
3:95173166	3:95172676
3:95173166	3:95172909
3:95173166	3:95172930
3:95173166	3:95173052
3:95173166	3:95173031
3:95173166	3:95172904
3:95173166	3:95172756
3:95173166	3:95173045
3:95173166	3:95172938
3:95173166	3:95172735
3:95173166	3:95173302
3:95173166	3:95173313
11:75895201	11:75895188
11:75895201	11:75895183
8:8969146	8:8969121
8:8969146	8:8969102
8:121117104	8:121117098
8:121117104	8:121117079
1:63273286	1:63273291
1:63273286	1:63273207
1:63273286	1:63273312
1:63273286	1:63273288
8:25027972	8:25027830
8:25027972	8:25027992
7:58837119	7:58836972
7:58837119	7:58836988
3:95173181	3:95172916
3:95173181	3:95173042
3:95173181	3:95173171
3:95173181	3:95172730
3:95173181	3:95173055
3:95173181	3:95172946
3:95173181	3:95172936
3:95173181	3:95172909
3:95173181	3:95172930
3:95173181	3:95172904
3:95173181	3:95172756
3:95173181	3:95173045
3:95173181	3:95172735
5:111419488	5:111420100
5:111419488	5:111420217
5:111419488	5:111419268
5:111419488	5:111419504
5:111419488	5:111420072
5:111419488	5:111419262
5:111419488	5:111420081
5:111419488	5:111418846
5:111419488	5:111419369
5:111419488	5:111419502
5:111419488	5:111419941
5:111419488	5:111419353
5:111419488	5:111420096
5:135022262	5:135022237
5:135022262	5:135022268
5:135022262	5:135022223
10:120428504	10:120428473
10:120428504	10:120428674
19:5756875	19:5756862
19:5756875	19:5756878
19:5756875	19:5756855
6:110645953	6:110645966
6:110645953	6:110645964
6:110645953	6:110645864
6:110645953	6:110645892
6:110645953	6:110645962
5:131307602	5:131307529
5:131307602	5:131307390
5:131307602	5:131307485
6:83161434	6:83161684
6:83161434	6:83161660
6:83161434	6:83161669
5:111419939	5:111420100
5:111419939	5:111420217
5:111419939	5:111420072
5:111419939	5:111419262
5:111419939	5:111420081
5:111419939	5:111420202
5:111419939	5:111419502
5:111419939	5:111419226
5:111419939	5:111419941
5:111419939	5:111420070
5:111419939	5:111419953
5:111419939	5:111420213
5:111419939	5:111420067
5:111419939	5:111419353
5:111419939	5:111420096
3:95173328	3:95172681
3:95173328	3:95172676
3:95173328	3:95173052
3:95173328	3:95173031
3:95173328	3:95173340
3:95173328	3:95173318
3:95173328	3:95173302
3:95173328	3:95173313
3:95173328	3:95173504
3:95173328	3:95173076
19:40487657	19:40487488
19:40487657	19:40487673
19:40487657	19:40487655
15:98780773	15:98780782
15:98780773	15:98780615
15:98780773	15:98780817
3:29082978	3:29082967
3:29082978	3:29082984
3:29082978	3:29082969
3:29082978	3:29082965
7:19118279	7:19118464
7:19118279	7:19118268
7:19118279	7:19118266
7:19118279	7:19118474
7:19118279	7:19118476
7:19118279	7:19118261
7:19118279	7:19118443
7:19118279	7:19118270
