IncludedSite	BackupSite
4:78211809	4:78211954
4:78211809	4:78211796
10:114801288	10:114801456
10:114801288	10:114801645
8:121117098	8:121117195
8:121117098	8:121116782
8:121117098	8:121117381
2:74655605	2:74655742
2:74655605	2:74655652
2:74655605	2:74655681
2:74655605	2:74655969
2:74655605	2:74655718
11:96005189	11:96005005
11:96005189	11:96004863
16:10796709	16:10796679
16:10796709	16:10796664
4:78211834	4:78211954
4:78211834	4:78211796
15:78410621	15:78410198
15:78410621	15:78410682
15:78410621	15:78410567
2:74655560	2:74655652
2:74655560	2:74655718
10:4712340	10:4712323
10:4712340	10:4712596
10:4712366	10:4712323
10:4712366	10:4712596
12:27343133	12:27343037
12:27343133	12:27342929
16:10796658	16:10796679
16:10796658	16:10796664
12:27343127	12:27343064
12:27343127	12:27343037
12:27343127	12:27342929
12:27343127	12:27343137
12:27343127	12:27342940
12:27343127	12:27343066
12:27343127	12:27342693
12:27343127	12:27342689
12:27343127	12:27341826
19:61226261	19:61226250
19:61226261	19:61225985
19:61226261	19:61226369
19:61226261	19:61226239
2:91457334	2:91457153
2:91457334	2:91457291
16:92695943	16:92695722
16:92695943	16:92695801
16:92695943	16:92698997
16:92695943	16:92695727
16:92695943	16:92695699
16:92695943	16:92695719
16:92695943	16:92695815
16:92695943	16:92695709
16:92695943	16:92695687
16:92695943	16:92695712
12:20197124	12:20196392
12:20197124	12:20196561
8:125670121	8:125670064
8:125670121	8:125670181
8:125670121	8:125670283
8:125670121	8:125670062
8:125670121	8:125670163
8:125670121	8:125670030
8:125670121	8:125670058
1:63273307	1:63273288
1:63273307	1:63273286
1:63273307	1:63273207
12:86882221	12:86882214
12:86882221	12:86882200
12:86882221	12:86882103
12:86882221	12:86882197
12:86882221	12:86882513
12:86882221	12:86882362
4:147102186	4:147102240
4:147102186	4:147102210
19:61226236	19:61226250
19:61226236	19:61225985
19:61226236	19:61226369
19:61226236	19:61226239
19:40873304	19:40873162
19:40873304	19:40873192
19:40873304	19:40873201
19:40873304	19:40873281
19:40873442	19:40873162
19:40873442	19:40873192
19:40873442	19:40873201
19:40873442	19:40873281
19:40873300	19:40873192
19:40873300	19:40873281
8:121117180	8:121117104
8:121117180	8:121117300
8:121117180	8:121117195
8:121117180	8:121117019
8:121117180	8:121116782
8:121117180	8:121117001
8:121117180	8:121117381
8:121117180	8:121117060
8:121117180	8:121116805
8:121117180	8:121117355
4:36951589	4:36951818
4:36951589	4:36951784
4:36951589	4:36951762
12:21784367	12:21784285
12:21784367	12:21784287
