IncludedSite	BackupSite
15:85673573	15:85678279
15:85673573	15:85678248
10:75477282	10:75477294
10:75477282	10:75477313
8:70833622	8:70833479
8:70833622	8:70833455
6:84135136	6:84135134
6:84135136	6:84135129
14:51910711	14:51908883
14:51910711	14:51908360
14:51910711	14:51908881
14:51910711	14:51910714
4:133043496	4:133047498
4:133043496	4:133047495
4:133043496	4:133043070
4:133043496	4:133047293
4:133043496	4:133040899
4:133043496	4:133043145
4:133043496	4:133040911
5:92365024	5:92364789
5:92365024	5:92364817
5:92365024	5:92365041
5:92365024	5:92365072
5:92365024	5:92365051
5:92365024	5:92365060
1:92848744	1:92848748
1:92848744	1:92848727
14:25493603	14:25493609
14:25493603	14:25493641
14:25493603	14:25493701
14:25493603	14:25493517
3:50991273	3:50991277
3:50991273	3:50991282
11:120618728	11:120618785
11:120618728	11:120618726
11:120618728	11:120618776
11:120618728	11:120618781
11:120618728	11:120618765
11:120618728	11:120618773
11:120618728	11:120618720
11:120618728	11:120618716
15:11383929	15:11383933
15:11383929	15:11383946
4:141308774	4:141308938
4:141308774	4:141309239
4:141308774	4:141309439
18:39390935	18:39390894
18:39390935	18:39390783
18:39390935	18:39390922
11:120280618	11:120280638
11:120280618	11:120280614
11:120280618	11:120280616
11:120280618	11:120280548
11:120280618	11:120280735
11:120280618	11:120280607
11:120280618	11:120280751
7:113738215	7:113738178
7:113738215	7:113738194
7:113738215	7:113738021
7:113738215	7:113738206
7:113738215	7:113738186
13:41239808	13:41239626
13:41239808	13:41239806
13:41239808	13:41239597
16:32674202	16:32674487
16:32674202	16:32674478
4:140858444	4:140858386
4:140858444	4:140858434
4:133256890	4:133257044
4:133256890	4:133257039
8:125670043	8:125670119
8:125670043	8:125670046
14:31669317	14:31669338
14:31669317	14:31669352
14:31669317	14:31669325
2:164791991	2:164792135
2:164791991	2:164791998
2:164791991	2:164791896
2:164791991	2:164791899
2:164791991	2:164791953
5:102859865	5:102859847
5:102859865	5:102859856
5:102859865	5:102859828
4:141251015	4:141251018
4:141251015	4:141251023
4:141251015	4:141250985
4:141251015	4:141250980
16:30260834	16:30260758
16:30260834	16:30260794
16:30260834	16:30260770
16:30260834	16:30260867
13:35503624	13:35503661
13:35503624	13:35503545
13:35503624	13:35503551
13:35503624	13:35503517
13:35503624	13:35503664
11:78160026	11:78159964
11:78160026	11:78159942
11:78160026	11:78160068
11:78160026	11:78159953
11:78160026	11:78160058
11:78160026	11:78160063
2:109676136	2:109676149
2:109676136	2:109676130
17:46629312	17:46629369
17:46629312	17:46629377
17:46629312	17:46629365
17:46629312	17:46629031
17:46629312	17:46629339
17:46629312	17:46629373
17:46629312	17:46628792
17:46629312	17:46628761
17:46629312	17:46629362
17:46629312	17:46628630
17:46629312	17:46629047
17:46629312	17:46629056
17:46629312	17:46629052
17:46629312	17:46629018
17:46629312	17:46629035
17:46629312	17:46628948
12:112598161	12:112598020
12:112598161	12:112598052
12:112598161	12:112598006
12:112598161	12:112598034
12:112598161	12:112598056
2:170094500	2:170094461
2:170094500	2:170094433
6:24348395	6:24348404
6:24348395	6:24348393
15:75998772	15:75997970
15:75998772	15:75997885
15:75998772	15:75997980
15:75998772	15:75998123
15:75998772	15:75997699
15:75998772	15:75998711
15:75998772	15:75997998
15:75998772	15:75997957
15:75998772	15:75998797
15:75998772	15:75997846
15:75998772	15:75998147
15:75998772	15:75997840
15:75998772	15:75998904
15:75998772	15:75998824
15:75998772	15:75998766
15:75998772	15:75998910
